Sample Name,Sample #,Experiment #,Sampling #,Light,Time,Protein,OD730
BK_O3H_1_72h_Day_Run_3,1,3,1,Light,72,48.1525,0.2
BK_O3H_2_72h_Day_Run_5,2,5,1,Light,72,182.351,0.3
BK_O3H_3_72h_Day_Run_6,3,6,1,Light,72,123.77,0.2
BK_O3H_4_144h_Day_Run_6,4,6,2,Light,144,159.7855,0.3
BK_O3H_5_144h_Day_Run_5,5,5,2,Light,144,430.723,0.3
BK_O3H_6_144h_Day_Run_4,6,4,2,Light,144,226.586,0.32
BK_O3H_7_216h_Day_Run_6,7,6,3,Light,216,228.379,0.34
BK_O3H_8_216h_Day_Run_5,8,5,3,Light,216,472.9405,0.36
BK_O3H_9_216h_Day_Run_4,9,4,3,Light,216,421.8315,0.38
BK_O3H_10_288h_Day_Run_3,10,3,4,Light,288,297.7945,0.4
BK_O3H_11_288h_Day_Run_5,11,5,4,Light,288,253.784,0.42
BK_O3H_12_288h_Day_Run_6,12,6,4,Light,288,290.472,0.44
BK_O3H_13_84h_Night_Run_4,13,4,1,Dark,84,61.7515,0.46
BK_O3H_14_84h_Night_Run_5,14,5,1,Dark,84,58.3145,0.48
BK_O3H_15_84h_Night_Run_6,15,6,1,Dark,84,49.647,0.5
BK_O3H_16_156h_Night_Run_4,16,4,2,Dark,156,250.1975,0.52
BK_O3H_17_156h_Night_Run_5,17,5,2,Dark,156,266.188,0.54
BK_O3H_18_156h_Night_Run_6,18,6,2,Dark,156,200.4335,0.56
BK_O3H_19_228h_Night_Run_4,19,4,3,Dark,228,364.371,0.58
BK_O3H_20_228h_Night_Run_5,20,5,3,Dark,228,394.7825,0.6
BK_O3H_21_228h_Night_Run_6,21,6,3,Dark,228,270.5965,0.62
BK_O3H_22_300h_Night_Run_3,22,3,4,Dark,300,325.1425,0.64
BK_O3H_23_300h_Night_Run_5,23,5,4,Dark,300,264.245,0.66
BK_O3H_24_300h_Night_Run_6,24,6,4,Dark,300,327.982,0.68
BK_O3H_25_0h_Day_Run_9,25,9,1,Light,0,140.35,0.7
BK_O3H_26_0h_Day_Run_9,26,9,2,Light,0,132.7,0.72
BK_O3H_27_0h_Day_Run_9,27,9,3,Light,0,183.55,0.74
BK_O3H_28_12h_Night_Run_9,28,9,4,Dark,12,170.4,0.76
BK_O3H_29_12h_Night_Run_9,29,9,5,Dark,12,71.2,0.78
BK_O3H_30_12h_Night_Run_9,30,9,6,Dark,12,136.85,0.8
BK_O3H_31_n72h_Day_Run_3,31,3,0,Light,-72,108.527,0.82
BK_O3H_32_n72h_Day_Run_4,32,4,0,Light,-72,95.974,0.84
BK_O3H_33_n72h_Day_Run_5,33,5,0,Light,-72,176.523,0.86
BK_O3H_34_n72h_Day_Run_6,34,6,0,Light,-72,444.7705,0.88
BK_O3H_35_n72h_Day_Run_9,35,9,0,Light,-72,95.94,0.9
